ID;Min_EKG;Max_EKG;Mean_EKG;STDEV_EKG;Min_GSR;Max_GSR;Mean_GSR;STDEV_GSR;Min_Tep;Max_Tep;Mean_Tep;STDEV_Tep;Label
1_r;170;578;374.772973;114.7617206;101;477;274.2972973;109.4088028;33.45;38.78;36.01886486;1.516571257;Positive
2_r;171;573;368.0378378;119.7683165;101;475;278.7135135;103.9124793;33.46;38.78;36.10513514;1.572453465;Positive
3_r;171;580;376.4702703;121.017383;102;479;287.4324324;113.4645464;33.46;38.79;36.19259459;1.502278622;Positive
4_r;170;578;385.8108108;120.9319423;100;480;297.0054054;114.1178118;33.5;38.73;36.08308108;1.454983833;Neutral
5_r;172;580;380.0702703;119.9632663;100;477;283.4108108;114.0529715;33.48;38.77;35.98232432;1.531444155;Positive
6_r;177;575;376.9297297;119.9908531;100;479;285.8108108;109.5052207;33.48;38.79;36.19864865;1.487966518;Positive
7_r;170;580;391.5027027;119.837078;101;479;287.4972973;111.7668927;33.46;38.79;36.08935135;1.609272929;Positive
8_r;171;580;370.9351351;120.6768777;100;479;300.3513514;106.2588145;33.47;38.75;36.15194595;1.597260051;Neutral
9_r;170;580;373.9675676;114.8348485;101;480;299.8486486;106.8222763;33.46;38.71;36.10281081;1.578431628;Positive
10_r;170;580;363.1351351;125.0358997;100;480;295.2486486;110.6828254;33.45;38.79;36.24691892;1.571461767;Positive
11_r;170;579;349.2;118.4441622;102;480;281.4756757;108.0231492;33.49;38.79;36.11367568;1.553967749;Positive
12_r;170;577;373.4756757;119.854988;100;478;280.0972973;114.395677;33.48;38.74;36.2547027;1.506497537;Positive
13_r;170;580;375.2162162;118.3423403;105;478;296.3189189;108.7097298;33.45;38.77;36.18545946;1.558919961;Positive
14_r;170;580;376.3351351;122.3068846;102;479;298.9027027;105.1666444;33.48;38.79;36.25637838;1.594242483;Positive
15_r;176;574;377.4540541;113.4296339;101;479;287.172973;108.9250955;33.45;38.78;36.02524324;1.505314885;Positive
16_r;170;580;359.7621622;117.2207026;101;474;294.4054054;107.931656;33.45;38.7;36.2252973;1.542694933;Neutral
17_r;172;573;371.8702703;117.7870888;101;477;282.1513514;105.2437069;33.45;38.79;36.16027027;1.590329277;Positive
18_r;170;580;384.4648649;125.3073183;102;480;295.5459459;106.736415;33.5;38.78;36.28481081;1.497941011;Positive
19_r;179;580;376.0216216;114.3435877;105;479;290.5567568;111.9771341;33.45;38.73;35.89032432;1.607931395;Neutral
20_r;171;578;380.3891892;119.8538961;102;476;289.772973;110.1008546;33.48;38.78;36.01837838;1.565245698;Neutral
1_s;128;490;298.2085308;108.6273408;150;450;314.5450237;86.54363948;33.46;38.76;36.09199052;1.612347245;Neutral
2_s;128;489;321.5687204;103.4947837;150;448;296.563981;83.6768696;33.49;38.79;36.10924171;1.573215813;Negative
3_s;127;486;311.2985782;102.0600708;151;449;294.2606635;87.08601833;33.45;38.77;36.24014218;1.554635918;Neutral
4_s;126;487;304.7819905;106.256607;150;450;298.0758294;83.98108593;33.46;38.79;36.2457346;1.623111886;Neutral
5_s;132;489;303.8293839;99.96784859;151;450;302.9952607;86.57424546;33.54;38.74;36.23146919;1.45512926;Negative
6_s;127;489;315.4549763;101.4093619;150;449;292.6350711;83.89360894;33.47;38.79;36.16293839;1.562228534;Neutral
7_s;127;490;324.4265403;105.2988855;150;444;295.5118483;88.27604756;33.49;38.79;36.21194313;1.506078957;Negative
8_s;126;487;294.6824645;102.4526308;152;450;306.3364929;87.22136886;33.47;38.79;36.31900474;1.592895972;Negative
9_s;128;489;308.8672986;105.0505158;150;450;299.4834123;85.59635873;33.49;38.78;35.9243128;1.52449988;Negative
10_s;126;490;309.2559242;106.7704297;150;446;299.0473934;88.28577856;33.46;38.79;36.19606635;1.566400233;Negative
11_s;126;489;316.1990521;105.0904744;150;444;294.7914692;86.59882394;33.53;38.78;35.95516588;1.560321806;Negative
12_s;126;488;305.1137441;100.9530129;150;450;298.5260664;89.02061309;33.47;38.78;36.25582938;1.593504269;Negative
13_s;126;486;302.9383886;100.8874007;153;450;303.6445498;83.31193081;33.45;38.79;36.18374408;1.59099511;Neutral
14_s;126;488;318.6492891;105.1096943;151;448;292.9810427;87.6276735;33.45;38.78;36.32682464;1.570294138;Negative
15_s;126;490;308.0805687;106.129607;151;450;304.4454976;86.45984819;33.48;38.78;36.2363981;1.531027763;Negative
16_s;126;490;299.5781991;109.3076798;152;450;293.4834123;87.16964008;33.57;38.72;36.02369668;1.445235385;Negative
17_s;126;490;308.6872038;109.5956498;150;446;294.3459716;87.65673701;33.58;38.79;36.04706161;1.455275425;Neutral
18_s;126;486;291.6255924;105.3382177;150;450;288.2606635;89.39800423;33.46;38.76;36.08952607;1.51256602;Negative
19_s;129;489;314.5308057;96.15965271;151;447;296.5118483;86.44559865;33.48;38.75;36.01123223;1.481049306;Neutral
20_s;127;490;304.0853081;103.5575861;150;450;292.7345972;84.91668571;33.47;38.78;36.0092891;1.629456517;Negative
1_st;190;500;352.4923077;93.0476748;152;340;249.025641;55.38733674;33.46;38.77;36.11538462;1.512254148;Neutral
2_st;192;497;336.9641026;83.89182863;151;340;244.4564103;52.45991987;33.46;38.79;36.10769231;1.579758662;Negative
3_st;191;495;340.2769231;87.69996433;151;340;241.9435897;55.78698346;33.45;38.71;36.24482051;1.539897354;Neutral
4_st;191;499;342.7333333;89.89713862;150;340;251.9897436;55.13236086;33.46;38.77;35.94697436;1.506126518;Negative
5_st;196;499;348.9897436;91.61438626;152;340;245.5128205;53.96183827;33.47;38.78;36.276;1.542878352;Positive
6_st;191;500;346.9487179;90.76023379;150;340;242.4769231;52.78143252;33.45;38.76;36.16097436;1.552139718;Negative
7_st;190;498;337.2307692;87.66808937;151;339;250.4564103;53.8525277;33.48;38.79;36.05697436;1.596489246;Negative
8_st;190;496;341.4769231;87.08618335;150;339;242.4;55.50289302;33.45;38.79;36.12533333;1.565787331;Negative
9_st;190;500;333.2410256;92.12859882;151;340;247.8051282;55.91924382;33.46;38.79;36.13215385;1.561468869;Negative
10_st;190;498;337.2820513;89.69431153;150;340;249.1641026;55.48598545;33.52;38.78;36.12010256;1.514260729;Negative
11_st;190;499;343.2153846;90.38220544;150;337;240.9641026;54.65980773;33.47;38.75;35.89579487;1.393717775;Negative
12_st;191;500;337.7948718;92.84600361;150;340;250.8871795;53.52384178;33.47;38.77;36.21307692;1.523659718;Negative
13_st;191;500;343.0666667;89.96821126;151;340;247.0461538;56.08087793;33.45;38.75;36.10630769;1.472609616;Negative
14_st;192;498;344.4;88.42227643;150;337;241.625641;53.30062918;33.5;38.77;36.00538462;1.649659206;Negative
15_st;190;498;347.5846154;95.25833984;150;340;246.6205128;56.67314124;33.46;38.79;36.15923077;1.607629978;Neutral
16_st;190;499;354.2974359;92.4560288;150;340;243.3230769;52.62465056;33.48;38.72;35.96025641;1.479691886;Positive
17_st;192;498;343.5076923;90.64166273;150;340;242.8512821;54.97697209;33.45;38.79;36.00041026;1.496652221;Negative
18_st;192;500;352.8512821;90.76924087;150;340;241.5641026;55.21410756;33.5;38.79;36.02235897;1.550136534;Negative
19_st;192;500;350.625641;92.29925757;150;339;242.2769231;53.00588599;33.61;38.79;36.33964103;1.557819774;Negative
20_st;190;500;344.025641;89.75145727;155;339;241.9076923;54.38040593;33.46;38.79;36.1105641;1.567781014;Negative
1_z;170;524;346.1529412;96.83681731;130;320;224.0705882;57.18990675;36.46;38.72;37.54541176;0.641201538;Negative
2_z;173;517;341.8470588;106.1743295;130;320;221.5764706;57.80640442;36.53;38.79;37.65894118;0.655567772;Negative
3_z;171;529;346.8352941;103.7416488;135;320;214.1882353;54.64462988;36.48;38.76;37.56905882;0.690032131;Negative
4_z;174;530;355.4117647;101.9325517;131;314;211.3176471;54.66983406;36.45;38.71;37.60882353;0.6157079;Negative
5_z;170;527;355.3764706;108.3467731;130;320;232.6941176;57.19640838;36.48;38.79;37.62635294;0.701647461;Negative
6_z;173;530;340.0588235;107.6873067;134;319;238.4588235;55.29973584;36.46;38.78;37.75176471;0.673097277;Negative
7_z;174;529;333.7529412;109.3331416;135;317;234.6470588;54.84321938;36.45;38.75;37.63329412;0.702423336;Negative
8_z;175;527;359.6941176;97.57171032;130;319;228.4470588;50.95177596;36.45;38.78;37.70952941;0.702995133;Negative
9_z;176;524;368.9058824;100.6642964;130;319;229.5647059;56.12750091;36.51;38.71;37.542;0.625177689;Negative
10_z;174;529;338.2352941;106.4607738;130;319;217;56.87140883;36.5;38.76;37.68623529;0.691704204;Negative
11_z;170;530;342.8941176;104.5386718;131;318;210.1294118;54.15053714;36.46;38.76;37.67964706;0.712820433;Negative
12_z;173;530;357.1882353;107.9148136;131;320;231.1882353;65.95678494;36.46;38.73;37.59105882;0.679700606;Neutral
13_z;170;530;359.9882353;111.2093151;132;320;224.9647059;54.21923026;36.45;38.79;37.56082353;0.683720933;Negative
14_z;170;526;340.7647059;108.9071959;130;319;225.8470588;57.05104354;36.46;38.76;37.60482353;0.65622044;Negative
15_z;170;530;354.8117647;110.5272531;131;320;221.9529412;57.80548373;36.49;38.79;37.69223529;0.708091628;Negative
16_z;175;524;360.5294118;98.32509105;131;320;237.0941176;55.56605326;36.51;38.78;37.67058824;0.695977136;Negative
17_z;176;530;331.8588235;103.9057669;131;318;222.5411765;53.06544767;36.61;38.78;37.76164706;0.660787494;Negative
18_z;170;522;346.0705882;105.025143;138;320;233.6705882;52.12585234;36.46;38.75;37.69458824;0.690664885;Negative
19_z;176;514;333.8;101.6630522;136;319;226.4705882;51.48059927;36.51;38.79;37.56752941;0.663879123;Negative
20_z;170;514;346.9411765;111.0736942;132;320;221.2941176;55.13896374;36.46;38.76;37.52282353;0.653650212;Negative
